,restaurant_name,score,rest_url,img_link
46,Milios Sandwiches,3.9,https://www.doordash.com/store/milios-sandwiches-monona-1280513/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/508b122e-f1c3-4164-b681-715cc5d79af4-retina-large-jpeg"
24,Jimmy John's,3.9,https://www.doordash.com/store/jimmy-john%27s-madison-986024/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/45abd659-f254-443a-857d-b715fe6720c7-retina-large-jpeg"
39,King of Falafel,3.8,https://www.doordash.com/store/king-of-falafel-madison-23149676/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/85a48af8-5129-4a23-a434-02daa0ac7298-retina-large.JPG"
16,The Thirsty Goat,3.8,https://www.doordash.com/store/the-thirsty-goat-fitchburg-288986/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/73740697-1ee9-4c2f-b7d8-34f7df8c38f3-retina-large-jpeg"
8,Dunkin',3.8,https://www.doordash.com/store/dunkin%27-madison-1219362/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/5346f711-32d0-4134-b66c-25c01ee75759-retina-large.JPG"
22,Subway,3.8,https://www.doordash.com/store/subway-madison-492818/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/1d19321a-84b5-4f43-bf2e-51a1166af3cd-3dd60f91-d9ea-43cd-a718-2886535561de-retina-large.JPG"
26,Mediterranean Cafe,3.8,https://www.doordash.com/store/mediterranean-cafe-madison-1150945/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/83d5972b-26c1-481d-95ac-809dd86521a5-retina-large.jpg"
13,Parthenon Gyros,3.7,https://www.doordash.com/store/parthenon-gyros-madison-289074/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/abb56145-c829-4481-aa37-b1b862312796-retina-large.jpg"
33,Granny`s Kitchen,3.7,https://www.doordash.com/store/granny%60s-kitchen-madison-1793410/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/df21a2aa-302b-4ff2-b87a-10e324d4786b-retina-large-jpeg"
38,Benvenuto's,3.7,https://www.doordash.com/store/benvenuto%27s-madison-289001/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b6c277a0-dec1-49d7-8f73-9f73b66155e4-retina-large.JPG"
44,gooseberry on the square,3.7,https://www.doordash.com/store/gooseberry-on-the-square-madison-923298/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/0078cfd0-b3d6-44d2-a0c6-3aa1dca8d9b1-retina-large.JPG"
5,Cheba Hut,3.7,https://www.doordash.com/store/cheba-hut-madison-2827319/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/972bad5e-19da-4114-9e8c-0ff3c330a54d-retina-large.jpg"
2,Wings Over,3.7,https://www.doordash.com/store/wings-over-madison-288788/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/e731e40d-22ee-476b-8742-5c52664050a0-retina-large.png"
